time,lux_level
2022-05-12 21:43:01,0.0
2022-05-12 21:48:01,0.0
2022-05-12 21:53:01,0.0
2022-05-12 22:00:31,0.0
2022-05-12 22:05:31,0.0
2022-05-12 22:13:01,0.0
2022-05-12 22:18:01,0.0
2022-05-12 22:23:01,0.0
2022-05-12 22:28:01,0.0
2022-05-12 22:35:31,0.0
2022-05-12 22:40:31,0.0
2022-05-12 22:45:31,0.0
2022-05-12 22:48:01,0.0
2022-05-12 22:53:01,0.0
2022-05-12 22:58:01,0.0
2022-05-12 23:00:31,0.0
2022-05-12 23:05:31,0.0
2022-05-12 23:10:31,0.0
2022-05-12 23:15:31,0.0
2022-05-12 23:28:01,0.0
2022-05-12 23:33:01,0.0
2022-05-12 23:45:31,0.0
2022-05-12 23:53:01,0.0
2022-05-12 23:58:01,0.0
2022-05-13 00:05:31,0.0
2022-05-13 00:10:31,0.0
2022-05-13 00:18:01,0.0
2022-05-13 00:23:01,0.0
2022-05-13 00:28:01,0.0
2022-05-13 00:33:01,0.0
2022-05-13 00:40:31,0.0
2022-05-13 00:45:31,0.0
2022-05-13 00:50:31,0.0
2022-05-13 00:58:01,0.0
2022-05-13 01:08:01,0.0
2022-05-13 01:13:01,0.0
2022-05-13 01:18:01,0.0
2022-05-13 01:25:31,0.0
2022-05-13 01:30:31,0.0
2022-05-13 01:43:01,0.0
2022-05-13 01:50:31,0.0
2022-05-13 01:55:31,0.0
2022-05-13 02:00:31,0.0
2022-05-13 02:03:01,0.0
2022-05-13 02:08:01,0.0
2022-05-13 02:13:01,0.0
2022-05-13 02:18:01,0.0
2022-05-13 02:23:01,0.0
2022-05-13 02:30:31,0.0
2022-05-13 02:35:31,0.0
2022-05-13 02:43:01,0.0
2022-05-13 02:48:01,0.0
2022-05-13 02:53:01,0.0
2022-05-13 02:58:01,0.0
2022-05-13 03:00:31,0.0
2022-05-13 03:05:31,0.0
2022-05-13 03:10:31,0.0
2022-05-13 03:18:01,0.0
2022-05-13 03:23:01,0.0
2022-05-13 03:30:31,0.0
2022-05-13 03:35:31,0.0
2022-05-13 03:40:31,0.0
2022-05-13 03:43:01,0.0
2022-05-13 03:48:01,0.0
2022-05-13 03:53:01,0.0
2022-05-13 04:00:31,0.0
2022-05-13 04:10:31,0.0
2022-05-13 04:15:31,0.0
2022-05-13 04:20:31,0.0
2022-05-13 04:28:01,0.0
2022-05-13 04:33:01,0.0
2022-05-13 04:38:01,0.0
2022-05-13 04:40:31,0.0
2022-05-13 04:45:31,0.0
2022-05-13 04:50:31,0.0
2022-05-13 04:58:01,0.0
2022-05-13 05:03:01,0.0
2022-05-13 05:10:31,0.0
2022-05-13 05:18:01,0.0
2022-05-13 05:23:01,0.0
2022-05-13 05:30:31,0.0
2022-05-13 05:35:31,0.0
2022-05-13 05:43:01,0.0
2022-05-13 05:55:31,0.0
