time,pressure_level
2022-05-22 02:50:52,748.62
2022-05-22 02:53:22,748.63
2022-05-22 02:58:22,748.73
2022-05-22 03:00:52,748.71
2022-05-22 03:03:23,748.73
2022-05-22 03:05:52,748.74
2022-05-22 03:08:23,748.77
2022-05-22 03:10:52,748.74
2022-05-22 03:13:22,748.73
2022-05-22 03:15:52,748.72
2022-05-22 03:18:22,748.76
2022-05-22 03:20:52,748.77
2022-05-22 03:23:22,748.77
2022-05-22 03:28:22,748.76
2022-05-22 03:30:52,748.76
2022-05-22 03:35:52,748.76
2022-05-22 03:38:22,748.77
2022-05-22 03:40:52,748.75
2022-05-22 03:43:22,748.81
2022-05-22 03:45:52,748.83
2022-05-22 03:48:22,748.89
2022-05-22 03:50:52,748.9
2022-05-22 03:53:22,748.94
2022-05-22 03:55:52,748.94
2022-05-22 03:58:23,748.97
2022-05-22 04:00:52,749.0
2022-05-22 04:03:22,749.05
2022-05-22 04:05:52,749.01
2022-05-22 04:10:52,749.01
2022-05-22 04:13:22,749.01
2022-05-22 04:15:52,748.97
2022-05-22 04:18:22,749.01
2022-05-22 04:20:52,749.06
2022-05-22 04:23:22,749.11
2022-05-22 04:25:52,749.08
2022-05-22 04:28:22,749.01
2022-05-22 04:30:52,749.0
2022-05-22 04:33:22,749.05
2022-05-22 04:35:52,749.11
2022-05-22 04:38:22,749.12
2022-05-22 04:40:52,749.13
2022-05-22 04:43:22,749.16
2022-05-22 04:45:52,749.08
2022-05-22 04:48:22,749.12
2022-05-22 04:53:22,749.16
2022-05-22 04:55:52,749.13
2022-05-22 05:00:52,749.11
2022-05-22 05:03:22,749.12
2022-05-22 05:05:52,749.13
2022-05-22 05:08:22,749.25
2022-05-22 05:10:52,749.18
2022-05-22 05:13:22,749.21
2022-05-22 05:15:52,749.23
2022-05-22 05:18:22,749.26
2022-05-22 05:20:52,749.27
2022-05-22 05:23:22,749.3
2022-05-22 05:25:52,749.31
2022-05-22 05:28:22,749.3
2022-05-22 05:30:52,749.31
