time,hum_level
2022-05-24 17:13:24,50.57
2022-05-24 17:15:54,50.52
2022-05-24 17:18:24,50.53
2022-05-24 17:20:54,50.44
2022-05-24 17:23:24,50.42
2022-05-24 17:25:54,50.44
2022-05-24 17:28:24,50.37
2022-05-24 17:30:54,50.38
2022-05-24 17:33:24,50.35
2022-05-24 17:35:54,50.36
2022-05-24 17:38:24,50.36
2022-05-24 17:40:54,50.33
2022-05-24 17:43:24,50.34
2022-05-24 17:45:54,50.32
2022-05-24 17:48:24,50.18
2022-05-24 17:50:54,50.1
2022-05-24 17:53:24,49.97
2022-05-24 17:55:54,49.8
2022-05-24 17:58:24,49.68
2022-05-24 18:00:54,49.58
2022-05-24 18:03:24,49.5
2022-05-24 18:05:54,49.47
2022-05-24 18:08:24,49.33
2022-05-24 18:13:24,49.17
2022-05-24 18:15:54,49.15
2022-05-24 18:18:24,48.97
2022-05-24 18:20:54,48.9
2022-05-24 18:23:24,48.79
2022-05-24 18:25:54,48.74
2022-05-24 18:28:24,48.63
2022-05-24 18:33:24,48.45
2022-05-24 18:35:54,48.39
2022-05-24 18:38:24,48.34
2022-05-24 18:40:54,48.22
2022-05-24 18:43:24,48.14
2022-05-24 18:45:54,48.08
2022-05-24 18:48:24,48.08
2022-05-24 18:50:54,48.15
2022-05-24 18:53:24,48.21
2022-05-24 18:55:54,48.07
2022-05-24 19:00:54,47.91
2022-05-24 19:03:24,47.8
2022-05-24 19:05:54,47.75
2022-05-24 19:08:24,47.67
2022-05-24 19:10:54,47.63
2022-05-24 19:13:24,47.59
2022-05-24 19:15:54,47.56
2022-05-24 19:18:24,47.54
2022-05-24 19:20:54,47.5
2022-05-24 19:23:24,47.56
2022-05-24 19:28:24,48.16
2022-05-24 19:30:54,48.25
2022-05-24 19:33:24,48.4
2022-05-24 19:35:54,48.35
2022-05-24 19:38:24,48.29
2022-05-24 19:40:54,48.21
2022-05-24 19:43:24,48.13
2022-05-24 19:45:54,48.08
2022-05-24 19:48:24,47.97
2022-05-24 19:50:54,47.88
2022-05-24 19:55:54,47.69
2022-05-24 19:58:24,47.75
2022-05-24 20:00:54,47.64
2022-05-24 20:03:24,47.53
2022-05-24 20:05:54,47.38
2022-05-24 20:08:24,47.28
2022-05-24 20:10:54,47.17
2022-05-24 20:13:24,47.08
2022-05-24 20:15:54,46.96
2022-05-24 20:18:24,46.85
2022-05-24 20:20:54,46.75
2022-05-24 20:23:24,46.63
2022-05-24 20:25:54,46.52
2022-05-24 20:28:24,46.45
2022-05-24 20:30:54,46.4
2022-05-24 20:33:24,46.41
2022-05-24 20:35:54,46.33
2022-05-24 20:38:24,46.21
2022-05-24 20:40:54,46.12
2022-05-24 20:43:24,46.04
2022-05-24 20:45:54,46.05
2022-05-24 20:48:24,45.99
2022-05-24 20:50:54,45.96
2022-05-24 20:53:24,45.9
2022-05-24 20:55:54,45.87
2022-05-24 21:00:54,45.88
2022-05-24 21:03:24,45.88
2022-05-24 21:05:54,45.92
2022-05-24 21:08:24,45.91
2022-05-24 21:10:54,45.9
2022-05-24 21:13:24,45.9
2022-05-24 21:18:24,45.89
2022-05-24 21:20:54,45.88
2022-05-24 21:23:24,45.9
2022-05-24 21:25:54,45.9
2022-05-24 21:28:24,45.9
2022-05-24 21:30:54,45.91
2022-05-24 21:33:24,45.9
2022-05-24 21:35:54,45.9
2022-05-24 21:38:24,45.94
2022-05-24 21:40:54,45.92
2022-05-24 21:43:24,45.97
2022-05-24 21:45:54,45.99
2022-05-24 21:48:24,45.98
2022-05-24 21:53:24,45.95
2022-05-24 21:55:54,45.99
2022-05-24 21:58:24,45.99
2022-05-24 22:00:54,46.05
2022-05-24 22:03:24,46.12
2022-05-24 22:05:54,46.16
2022-05-24 22:08:24,46.2
2022-05-24 22:10:54,46.24
2022-05-24 22:13:24,46.24
2022-05-24 22:15:54,46.27
2022-05-24 22:20:54,46.23
2022-05-24 22:23:24,46.25
2022-05-24 22:25:54,46.3
2022-05-24 22:28:24,46.32
2022-05-24 22:30:54,46.36
2022-05-24 22:33:24,46.36
2022-05-24 22:35:54,46.34
2022-05-24 22:38:24,46.35
2022-05-24 22:40:54,46.36
2022-05-24 22:43:24,46.35
2022-05-24 22:45:54,46.35
2022-05-24 22:48:24,46.36
2022-05-24 22:50:54,46.33
2022-05-24 22:53:24,46.3
